,date,no,state_name,total_confirmed,discharged_migrated,deceased
0,2020-03-10,1,NCT of Delhi,4.0,,
1,2020-03-10,2,Haryana,14.0,,
2,2020-03-10,3,Kerala,9.0,,
3,2020-03-10,4,Rajasthan,2.0,,
4,2020-03-10,5,Telangana,1.0,,
5,2020-03-10,6,Uttar Pradesh,9.0,,
6,2020-03-10,7,Union Territory of Ladakh,2.0,,
7,2020-03-10,8,Tamil Nadu,1.0,,
8,2020-03-10,9,Jammu and Kashmir,1.0,,
9,2020-03-10,10,Punjab,1.0,,
10,2020-03-10,11,Karnataka,1.0,,
11,2020-03-10,12,Maharashtra,2.0,,
12,2020-03-10,1,NCT of Delhi,5.0,,
13,2020-03-10,2,Haryana,14.0,,
14,2020-03-10,3,Kerala,17.0,,
15,2020-03-10,4,Rajasthan,3.0,,
16,2020-03-10,5,Telangana,1.0,,
17,2020-03-10,6,Uttar Pradesh,9.0,,
18,2020-03-10,7,Union Territory of Ladakh,2.0,,
19,2020-03-10,8,Tamil Nadu,1.0,,
20,2020-03-10,9,Jammu and Kashmir,1.0,,
21,2020-03-10,10,Punjab,1.0,,
22,2020-03-10,11,Karnataka,4.0,,
23,2020-03-10,12,Maharashtra,2.0,,
24,2020-03-11,1,NCT of Delhi,6.0,0.0,
25,2020-03-11,2,Haryana,14.0,0.0,
26,2020-03-11,3,Kerala,17.0,3.0,
27,2020-03-11,4,Rajasthan,3.0,0.0,
28,2020-03-11,5,Telangana,1.0,0.0,
29,2020-03-11,6,Uttar Pradesh,11.0,0.0,
30,2020-03-11,7,Union Territory of Ladakh,3.0,0.0,
31,2020-03-11,8,Tamil Nadu,1.0,0.0,
32,2020-03-11,9,Jammu and Kashmir,1.0,0.0,
33,2020-03-11,10,Punjab,1.0,0.0,
34,2020-03-11,11,Karnataka,4.0,0.0,
35,2020-03-11,12,Maharashtra,11.0,0.0,
36,2020-03-11,13,Andhra Pradesh,1.0,0.0,
37,2020-03-12,1,NCT of Delhi,6.0,0.0,
38,2020-03-12,2,Haryana,14.0,0.0,
39,2020-03-12,3,Kerala,17.0,3.0,
40,2020-03-12,4,Rajasthan,3.0,0.0,
41,2020-03-12,5,Telangana,1.0,0.0,
42,2020-03-12,6,Uttar Pradesh,11.0,0.0,
43,2020-03-12,7,Union Territory of Ladakh,3.0,0.0,
44,2020-03-12,8,Tamil Nadu,1.0,0.0,
45,2020-03-12,9,Jammu and Kashmir,1.0,0.0,
46,2020-03-12,10,Punjab,1.0,0.0,
47,2020-03-12,11,Karnataka,4.0,0.0,
48,2020-03-12,12,Maharashtra,11.0,0.0,
49,2020-03-12,13,Andhra Pradesh,1.0,0.0,
50,2020-03-15,1,Andhra Pradesh,1.0,0.0,0.0
51,2020-03-15,2,NCT of Delhi,7.0,2.0,1.0
52,2020-03-15,3,Haryana,14.0,0.0,0.0
53,2020-03-15,4,Karnataka,6.0,0.0,1.0
54,2020-03-15,5,Kerala,22.0,3.0,0.0
55,2020-03-15,6,Maharashtra,32.0,0.0,0.0
56,2020-03-15,7,Punjab,1.0,0.0,0.0
57,2020-03-15,8,Rajasthan,4.0,3.0,0.0
58,2020-03-15,9,Tamil Nadu,1.0,0.0,0.0
59,2020-03-15,10,Telangana,3.0,1.0,0.0
60,2020-03-15,11,Jammu and Kashmir,2.0,0.0,0.0
61,2020-03-15,12,Union Territory of Ladakh,3.0,0.0,0.0
62,2020-03-15,13,Uttar Pradesh,13.0,4.0,0.0
63,2020-03-15,14,Uttarakhand,1.0,0.0,0.0
64,2020-03-16,1,Andhra Pradesh,1.0,0.0,0.0
65,2020-03-16,2,NCT of Delhi,7.0,2.0,1.0
66,2020-03-16,3,Haryana,14.0,0.0,0.0
67,2020-03-16,4,Karnataka,6.0,0.0,1.0
68,2020-03-16,5,Kerala,23.0,3.0,0.0
69,2020-03-16,6,Maharashtra,32.0,0.0,0.0
70,2020-03-16,7,Odisha,1.0,0.0,0.0
71,2020-03-16,8,Punjab,1.0,0.0,0.0
72,2020-03-16,9,Rajasthan,4.0,3.0,0.0
73,2020-03-16,10,Tamil Nadu,1.0,0.0,0.0
74,2020-03-16,11,Telangana,3.0,1.0,0.0
75,2020-03-16,12,Jammu and Kashmir,3.0,0.0,0.0
76,2020-03-16,13,Union Territory of Ladakh,4.0,0.0,0.0
77,2020-03-16,14,Uttar Pradesh,13.0,4.0,0.0
78,2020-03-16,15,Uttarakhand,1.0,0.0,0.0
79,2020-03-17,1,Andhra Pradesh,1.0,0.0,0.0
80,2020-03-17,2,NCT of Delhi,8.0,2.0,1.0
81,2020-03-17,3,Haryana,15.0,0.0,0.0
82,2020-03-17,4,Karnataka,11.0,0.0,1.0
83,2020-03-17,5,Kerala,26.0,3.0,0.0
84,2020-03-17,6,Maharashtra,39.0,0.0,1.0
85,2020-03-17,7,Odisha,1.0,0.0,0.0
86,2020-03-17,8,Punjab,1.0,0.0,0.0
87,2020-03-17,9,Rajasthan,4.0,3.0,0.0
88,2020-03-17,10,Tamil Nadu,1.0,0.0,0.0
89,2020-03-17,11,Telangana,5.0,1.0,0.0
90,2020-03-17,12,Jammu and Kashmir,3.0,0.0,0.0
91,2020-03-17,13,Union Territory of Ladakh,6.0,0.0,0.0
92,2020-03-17,14,Uttar Pradesh,15.0,5.0,0.0
93,2020-03-17,15,Uttarakhand,1.0,0.0,0.0
94,2020-03-18,1,Andhra Pradesh,1.0,0.0,0.0
95,2020-03-18,2,NCT of Delhi,10.0,2.0,1.0
96,2020-03-18,3,Haryana,17.0,0.0,0.0
97,2020-03-18,4,Karnataka,11.0,0.0,1.0
98,2020-03-18,5,Kerala,27.0,3.0,0.0
99,2020-03-18,6,Maharashtra,42.0,0.0,1.0
100,2020-03-18,7,Odisha,1.0,0.0,0.0
101,2020-03-18,8,Puducherry,1.0,0.0,0.0
102,2020-03-18,9,Punjab,1.0,0.0,0.0
